"","method","k_num","ptime","k_orig","e","n","LOINC"
"200","ap_kluster_frq",8,0.0393499999999767,3,5,11340,"26511-6"
"201","BIC_kluster_mean",3,0.117769999999437,3,0,13054,"2777-1"
"202","cal_kluster_mean",15,1.08086000000127,3,12,13054,"2777-1"
"203","pam_kluster_mean",8,0.0265599999984261,3,5,13054,"2777-1"
"204","ap_kluster_mean",9,0.0524700000003213,3,6,13054,"2777-1"
"205","BIC_kluster_frq",3,0.117769999999437,3,0,13054,"2777-1"
"206","cal_kluster_frq",15,1.08086000000127,3,12,13054,"2777-1"
"207","pam_kluster_frq",10,0.0265599999984261,3,7,13054,"2777-1"
"208","ap_kluster_frq",8,0.0524700000003213,3,5,13054,"2777-1"
"209","BIC_kluster_mean",3,0.0975300000043353,3,0,34576,"2823-3"
"210","cal_kluster_mean",15,0.963830000004964,3,12,34576,"2823-3"
"211","pam_kluster_mean",10,0.0207099999964703,3,7,34576,"2823-3"
"212","ap_kluster_mean",7,0.0574799999978859,3,4,34576,"2823-3"
"213","BIC_kluster_frq",3,0.0975300000043353,3,0,34576,"2823-3"
"214","cal_kluster_frq",15,0.963830000004964,3,12,34576,"2823-3"
"215","pam_kluster_frq",10,0.0207099999964703,3,7,34576,"2823-3"
"216","ap_kluster_frq",7,0.0574799999978859,3,4,34576,"2823-3"
"217","BIC_kluster_mean",3,0.120339999997523,3,0,16636,"2885-2"
"218","cal_kluster_mean",15,1.05683000000136,3,12,16636,"2885-2"
"219","pam_kluster_mean",7,0.0250900000025285,3,4,16636,"2885-2"
"220","ap_kluster_mean",8,0.0522500000015134,3,5,16636,"2885-2"
"221","BIC_kluster_frq",3,0.120339999997523,3,0,16636,"2885-2"
"222","cal_kluster_frq",15,1.05683000000136,3,12,16636,"2885-2"
"223","pam_kluster_frq",10,0.0250900000025285,3,7,16636,"2885-2"
"224","ap_kluster_frq",8,0.0522500000015134,3,5,16636,"2885-2"
"225","BIC_kluster_mean",8,0.0647700000042096,3,5,696,"2888-6"
"226","cal_kluster_mean",15,1.08953000000387,3,12,696,"2888-6"
